#{"t_start": 1765594231.536499, "env_id": "None"}
r,l,t
-78.00007,1000,657.103908
377.99606,1000,657.103913
89.60185,1000,657.103919
-39.400017,1000,657.103925
146.80159,1000,657.103933
380.59265,1000,657.103939
-15.599834,1000,657.103948
-55.40032,1000,657.103955
278.19232,1000,657.10396
334.3928,1000,657.103968
183.59935,1000,666.907539
514.5912,1000,666.907587
676.59283,1000,666.907596
670.5938,1000,666.907602
333.7937,1000,666.907607
81.20236,1000,666.907613
-45.19919,1000,666.907619
-84.79995,1000,666.907624
-151.79884,1000,666.907629
-118.19951,1000,666.907635
666.7943,1000,666.90764
666.3898,1000,666.907646
-10.600216,1000,666.907651
232.7961,1000,666.907656
189.40169,1000,666.907662
74.402435,1000,666.907667
228.39519,1000,666.907672
-171.1985,1000,666.907678
796.1917,1000,666.907683
832.9944,1000,666.907688
656.9946,1000,666.907693
128.20181,1000,666.907699
105.602036,1000,666.907704
672.59314,1000,666.907709
792.99176,1000,666.907714
678.19446,1000,666.90772
-32.80023,1000,666.907736
673.39075,1000,666.907773
404.19318,1000,698.703745
-151.79887,1000,698.703789
668.3946,1000,698.703797
794.19275,1000,698.703803
378.9947,1000,698.703808
663.5927,1000,698.703813
668.59467,1000,698.703818
-29.99985,1000,698.703823
666.9896,1000,698.703828
476.19135,1000,698.703833
668.7964,1000,698.703838
83.8017,1000,698.703843
795.9929,1000,698.703848
-64.2001,1000,698.703852
284.19275,1000,698.703857
281.59296,1000,698.703862
-7.399369,1000,698.703867
668.1899,1000,698.703873
15.800885,1000,698.703877
180.99701,1000,698.703882
671.7927,1000,698.703887
-140.39903,1000,698.703892
665.1935,1000,698.703897
493.99823,1000,698.703941
130.4016,1000,698.703948
81.400955,1000,698.703953
289.79297,1000,698.703958
349.5925,1000,698.703963
671.79193,1000,744.020666
264.39548,1000,744.020731
125.60185,1000,744.020751
277.79672,1000,744.020768
669.59467,1000,744.020783
510.3921,1000,744.020797
-66.20023,1000,744.020812
71.80182,1000,744.020826
368.40015,1000,744.02084
17.40121,1000,744.020855
398.99637,1000,744.020869
793.99097,1000,744.020883
672.3926,1000,744.020897
261.1943,1000,744.020911
306.59317,1000,744.020925
226.5969,1000,744.020939
-75.000114,1000,744.020953
-32.798847,1000,744.020967
162.19965,1000,744.020981
50.40216,1000,744.020995
-134.39911,1000,744.021008
192.4013,1000,744.021022
666.5939,1000,744.021036
177.80164,1000,744.02105
796.39136,1000,744.021063
672.39166,1000,744.021077
15.200916,1000,744.021091
21.001377,1000,744.021105
791.7906,1000,788.230264
-45.000195,1000,788.230331
-48.800266,1000,788.230352
91.00212,1000,788.23037
99.00024,1000,788.230386
794.5915,1000,788.230401
-73.60023,1000,788.230416
30.00138,1000,788.230431
159.19994,1000,788.230446
229.99626,1000,788.23046
789.59424,1000,788.230474
790.58954,1000,788.230489
208.19843,1000,788.230503
116.20178,1000,788.230517
790.1906,1000,788.230531
-141.99895,1000,788.230545
-55.799946,1000,788.230559
669.19037,1000,788.230573
61.8019,1000,788.230587
28.40142,1000,788.230601
291.1928,1000,788.230615
155.40128,1000,788.230629
286.39154,1000,788.230642
-156.59882,1000,788.230656
798.19086,1000,788.23067
664.99414,1000,788.230684
504.59564,1000,788.230698
834.99475,1000,788.230711
-13.399814,1000,805.504869
832.59546,1000,805.504933
90.40221,1000,805.504942
203.79993,1000,805.504949
362.39124,1000,805.504955
665.3918,1000,805.504961
795.9899,1000,805.504966
355.195,1000,805.504972
60.800064,1000,805.504978
668.99316,1000,805.504983
400.39142,1000,805.504989
245.39325,1000,805.504994
251.3938,1000,805.505
194.9967,1000,805.505007
-50.399994,1000,805.505013
792.7914,1000,805.505019
830.1922,1000,805.505024
93.00232,1000,805.50503
529.3985,1000,805.505036
281.39285,1000,805.505042
277.39047,1000,805.505048
435.40085,1000,805.505053
795.9907,1000,805.505059
13.801192,1000,805.505064
791.99066,1000,805.50507
339.39444,1000,805.505076
384.99545,1000,805.505081
77.60205,1000,805.505088
-72.39976,1000,830.844786
37.201195,1000,830.844834
188.19656,1000,830.844842
402.99255,1000,830.844848
420.59445,1000,830.844854
-104.19968,1000,830.84486
666.39197,1000,830.844865
669.5911,1000,830.844871
-160.19868,1000,830.844876
-67.39995,1000,830.844881
401.79706,1000,830.844887
-97.79981,1000,830.844892
661.9911,1000,830.844897
84.401855,1000,830.844902
381.9924,1000,830.844908
-22.799318,1000,830.844913
794.59375,1000,830.844918
665.58984,1000,830.844923
-149.39886,1000,830.844929
234.99329,1000,830.844934
662.59357,1000,830.844939
208.4005,1000,830.844944
14.201665,1000,830.844949
662.9895,1000,830.844954
424.99152,1000,830.84496
94.002075,1000,830.844965
667.7921,1000,830.84497
101.00218,1000,830.844975
220.39381,1000,851.529889
348.79578,1000,851.529944
322.19806,1000,851.529953
-53.400322,1000,851.529959
45.40112,1000,851.529965
663.78955,1000,851.529971
-40.9995,1000,851.529976
372.39478,1000,851.529982
148.20203,1000,851.529987
646.3969,1000,851.529993
668.79175,1000,851.529998
664.99384,1000,851.530003
671.5907,1000,851.530009
-5.1992106,1000,851.530014
7.801259,1000,851.530019
149.00172,1000,851.530024
-152.19812,1000,851.53003
562.7915,1000,851.530035
400.9957,1000,851.530041
-7.399285,1000,851.530046
277.78955,1000,851.530051
790.99384,1000,851.530056
182.19745,1000,851.530061
279.39124,1000,851.530066
795.99426,1000,851.530071
663.39343,1000,851.530076
155.79999,1000,851.530081
790.19147,1000,851.530086
670.9937,1000,873.917006
111.000885,1000,873.917091
792.79156,1000,873.917101
215.59654,1000,873.917109
795.1947,1000,873.917115
265.1957,1000,873.917122
670.79193,1000,873.917128
175.79874,1000,873.917135
654.5937,1000,873.917148
664.79553,1000,873.917158
671.1941,1000,873.917164
658.19495,1000,873.91717
-18.000101,1000,873.917177
-118.1994,1000,873.917184
-30.599257,1000,873.917191
-75.399864,1000,873.917197
86.40199,1000,873.917204
-26.999907,1000,873.917211
-81.39999,1000,873.917217
181.7977,1000,873.917224
229.59859,1000,873.91723
412.39545,1000,873.917237
252.79323,1000,873.917243
128.20213,1000,873.917249
14.601405,1000,873.917258
-41.799908,1000,873.917264
663.1909,1000,873.917271
277.79688,1000,873.917277
399.19458,1000,886.288478
790.1897,1000,886.288525
663.9967,1000,886.288533
73.60162,1000,886.288539
789.99005,1000,886.288544
-120.599495,1000,886.288549
-53.600323,1000,886.288555
200.39977,1000,886.288559
413.39142,1000,886.288565
44.401695,1000,886.28857
791.19116,1000,886.288575
174.40167,1000,886.28858
148.40259,1000,886.288585
499.59442,1000,886.288591
208.39803,1000,886.288596
-184.59836,1000,886.288601
679.99414,1000,886.288606
788.3954,1000,886.288611
514.79504,1000,886.288616
-15.799986,1000,886.288621
124.60103,1000,886.288626
102.20094,1000,886.288631
81.40135,1000,886.288636
-24.999403,1000,886.288641
-42.20019,1000,886.288646
287.59763,1000,886.288651
214.99387,1000,886.288657
92.602264,1000,886.288662
125.00157,1000,906.307482
24.400978,1000,906.30753
19.000698,1000,906.307539
654.3929,1000,906.307545
642.79095,1000,906.30755
79.40167,1000,906.307556
120.00145,1000,906.307561
112.19965,1000,906.307566
491.39325,1000,906.307572
106.80191,1000,906.307578
59.80171,1000,906.307583
14.400871,1000,906.307588
19.400837,1000,906.307593
165.80199,1000,906.307599
49.60211,1000,906.307604
672.1944,1000,906.307609
180.3972,1000,906.307615
19.201004,1000,906.30762
788.5913,1000,906.307625
53.60228,1000,906.30763
25.80074,1000,906.307635
223.99763,1000,906.307641
33.801792,1000,906.307647
70.8026,1000,906.307652
-4.200195,1000,906.307657
790.59357,1000,906.307662
100.20058,1000,906.307667
788.78955,1000,906.307672
791.3915,1000,924.927516
652.5966,1000,924.927567
-18.000319,1000,924.927575
53.00179,1000,924.927581
90.401855,1000,924.927586
-77.00017,1000,924.927591
430.3927,1000,924.927597
84.601425,1000,924.927602
642.3918,1000,924.927607
103.40268,1000,924.927612
111.20032,1000,924.927617
325.9915,1000,924.927622
74.19994,1000,924.927627
127.40054,1000,924.927633
674.39594,1000,924.927638
670.5975,1000,924.927643
250.7971,1000,924.927648
665.5901,1000,924.927653
665.19434,1000,924.927658
16.199932,1000,924.927663
266.59412,1000,924.927668
388.58957,1000,924.927673
50.601444,1000,924.927678
-116.7991,1000,924.927683
-36.200077,1000,924.927688
