#{"t_start": 1765582597.4202473, "env_id": "None"}
r,l,t
681.4,1000,1621.974452
172.2,1000,1624.056059
88.0,1000,1626.279547
-37.8,1000,1628.427757
687.6,1000,1630.678623
255.6,1000,1634.906956
532.4,1000,1636.93236
-92.0,1000,1639.052568
37.4,1000,1641.049663
684.8,1000,1643.024377
0.2,1000,1645.018264
86.2,1000,1647.148821
261.8,1000,1649.273813
797.4,1000,1653.449082
668.8,1000,1655.65556
797.6,1000,1657.73722
659.4,1000,1659.837243
258.2,1000,1661.979556
287.6,1000,1663.964336
-43.2,1000,1665.933042
276.4,1000,1667.821806
-75.2,1000,1671.863109
262.6,1000,1673.80539
90.4,1000,1675.882497
103.4,1000,1678.19132
-3.4,1000,1680.260695
-187.8,1000,1682.181644
313.6,1000,1684.064765
808.0,1000,1686.105044
118.8,1000,1690.050201
568.0,1000,1692.425373
670.6,1000,1694.650052
795.0,1000,1696.886102
102.8,1000,1699.115758
138.8,1000,1701.232837
-94.2,1000,1703.282705
18.0,1000,1705.506467
819.4,1000,1709.705526
41.0,1000,1711.920273
-155.0,1000,1714.076366
263.8,1000,1716.193422
156.2,1000,1718.385096
793.6,1000,1720.481851
158.0,1000,1722.701806
20.4,1000,1724.98809
680.2,1000,1729.945293
98.2,1000,1732.06333
85.8,1000,1734.185358
86.0,1000,1736.432585
-87.0,1000,1738.735252
44.0,1000,1741.068769
570.8,1000,1743.297952
-66.0,1000,1745.233297
189.2,1000,1749.686478
379.2,1000,1752.202177
123.4,1000,1754.457058
-138.0,1000,1756.52845
191.6,1000,1759.067609
684.4,1000,1761.597451
221.8,1000,1763.667121
320.0,1000,1765.866082
810.4,1000,1770.961419
66.2,1000,1773.277085
-175.4,1000,1775.488849
97.2,1000,1777.838316
246.8,1000,1780.419474
-7.6,1000,1782.951652
674.8,1000,1785.081396
230.0,1000,1787.114064
411.8,1000,1791.359065
-133.6,1000,1793.400937
-110.2,1000,1795.430809
681.4,1000,1797.484418
245.8,1000,1799.474139
190.2,1000,1801.486191
830.0,1000,1803.673906
262.8,1000,1805.799289
-179.0,1000,1810.455099
-161.0,1000,1812.646434
678.6,1000,1815.22222
232.2,1000,1817.262968
800.2,1000,1819.336693
529.0,1000,1821.348581
158.2,1000,1823.35941
-145.2,1000,1825.495592
-158.0,1000,1830.089781
678.0,1000,1832.233162
-26.2,1000,1834.303255
93.0,1000,1836.528632
681.4,1000,1838.604868
-113.4,1000,1840.616904
-9.6,1000,1843.589198
-126.4,1000,1845.557071
680.0,1000,1850.038126
317.2,1000,1851.92095
459.8,1000,1853.916318
595.8,1000,1855.945307
90.2,1000,1857.888669
181.0,1000,1859.818906
-171.8,1000,1861.792685
676.6,1000,1863.895731
825.2,1000,1868.405346
55.0,1000,1870.422734
809.6,1000,1872.431505
-144.8,1000,1874.436993
814.4,1000,1876.443487
124.8,1000,1878.378485
-99.6,1000,1880.303614
-10.8,1000,1882.341549
678.0,1000,1886.466774
138.4,1000,1888.597739
-95.4,1000,1890.698801
